deu-enh,eng,warning,Qid_detail
lilachen,bed sheet,,Q391788
lochereichten leffel,skimmer,,Q388428
lochorten loeffel,skimmer,,Q388428
loefel,spoon,,Q81895
loeffel,spoon,,Q81895
loeffelin,spoon,,Q81895
loeffell,spoon,,Q81895
loffel,spoon,,Q81895
loffel,spoon,,Q81895
loffell,spoon,,Q81895
lopffell,spoon,,Q81895
maermelstain,marble,,Q40861
maesser,knife,,Q32489
malter,container,,Q987767
mandlmuehl,almond grinder,,Q12716718
marmelstain,marble,,Q40861
mauschen,mortar,,Q45778
mayschen,mortar,,Q45778
medel,mold,,Q1941820
merser,mortar,,Q45778
meser,knife,,Q32489
messaer,knife,,Q32489
messer,knife,,Q32489
messeren,knife,,Q32489
messerlein,knife,,Q32489
messern,knife,,Q32489
messernn,knife,,Q32489
messerr,knife,,Q32489
messer ruggen,knife back,,Q1924166
messers rukch,knife back,,Q1924166
messerspicz,knife point,,Q1924211
metail,metal tool,,Q1746570
model,mold,,Q1941820
model als ein vogel oder haselhaym ist,poultry mold,,Q0
modell,mold,,Q1941820
modl,mold,,Q1941820
moedel,mold,,Q1941820
moersar,mortar,,Q45778
moersaer,mortar,,Q45778
moerscher,mortar,,Q45778
moerser,mortar,,Q45778
moeser,mortar,,Q45778
morsaer,mortar,,Q45778
morsar,mortar,,Q45778
morsel,mortar,,Q45778
morsel stein,mortar,,Q45778
morsell,mortar,,Q45778
morselstein,mortar,,Q45778
morser,mortar,,Q45778
morserr,mortar,,Q45778
morsner,mortar,,Q45778
morß,mortar,,Q45778
morsser,mortar,,Q45778
morßer,mortar,,Q45778
morßer,mortar,,Q45778
morsserr,mortar,,Q45778
morßerr,mortar,,Q45778
morsterstein,mortar,,Q45778
morszer,mortar,,Q45778
morszerr,mortar,,Q45778
mortario,mortar,,Q45778
moser,mortar,,Q45778
moßer,mortar,,Q45778
muellterlein,container,,Q987767
muelter,container,,Q987767
mueltter,container,,Q987767
muersel,mortar,,Q45778
muersing,mortar,,Q45778
muerssel,mortar,,Q45778
muerssing,mortar,,Q45778
mullternn,container,,Q987767
multer,container,,Q987767
muollter,container,,Q987767
muolter,container,,Q987767
mursing,mortar,,Q45778
nadlenn,larding needle,,Q107272836
napff,bowl,,Q153988
naph,bowl,,Q153988
nateln,larding needle,,Q107272836
nuersing,mortar,,Q45778
oberdekch,lid,,Q2488579
oeffen,baking oven,,Q36539
oelpawm,olea wood,,Q296910
ofem,baking oven,,Q36539
ofen,baking oven,,Q36539
ofenn,baking oven,,Q36539
offel,baking oven,,Q36539
offellein,baking oven,,Q36539
offen,baking oven,,Q36539
offendel,baking oven,,Q36539
offenn,baking oven,,Q36539
offenndel,baking oven,,Q36539
offlein,baking oven,,Q36539
oflein,baking oven,,Q36539
olla,pot,,Q15711817
ouen,baking oven,,Q36539
pachofen,baking oven,,Q36539
pachoffen,baking oven,,Q36539
pain,skull,,Q13147
paiss,tannin,,Q187607
paisse,tannin,,Q187607
panchk,workbench,,Q347690
panck,workbench,,Q347690
pankch,workbench,,Q347690
panne,pan,,Q127666
pannen,pan,,Q127666
