deu-enh,eng,warning,Qid_detail
ayrs,chicken egg,,Q15260613
ayrs tutter,yolk,,Q16336079
ayrschallen,eggshell,,Q2731253
ayrtaig,egg dough,,Q107262035
ayrtütter,yolk,,Q16336079
ays,chicken egg,,Q15260613
ayweys,egg white,,Q796758
backen,bone,warningANIMAL,Q265868
baeet brodt,toast,,Q6128
baeriszkoerner,grain of paradise,,Q1503476
bain,bone,warningANIMAL,Q265868
bainer,bone,warningANIMAL,Q265868
baldutam,unsolved,,Q0
ban,broad bean,,Q61672189
bappel,black poplar,,Q147064
barben rogen,common barbel,,Q83363029
barben rogen,barbel's roe,,Q107246431
barberre,common barberry,,Q107262463
barerskorn,grain of paradise,,Q1503476
bariskorn,grain of paradise,,Q1503476
bariss korn,grain of paradise,,Q1503476
bäriss körner,grain of paradise,,Q1503476
bärißkörner,grain of paradise,,Q1503476
basilij,basil,,Q65522654
baumerantze,bitter orange,,Q27657260
baumnus,walnut,,Q208021
baumnusz,walnut,,Q208021
bebenne,muskmelon,,Q61857870
bedelin,dough sheet,,Q107261744
bein,bone,warningANIMAL,Q265868
bemente,crisped mint,,Q61923338
bementenn,crisped mint,,Q61923338
benet,spinach,,Q36814998
benetkol,spinach,,Q36814998
benyth kol,spinach,,Q36814998
ber,berry,,Q13184
berchtram,pellitory,,Q828427
bere,grape,,Q10978
beren,grape,warningBÄR,Q10978
beren kopf,bear head,,Q0
berenkopf,bear head,,Q0
bern kopff,bear meat,,Q17222480
bern kopff,bear head,,Q0
bersich,berch,,Q746136
bersig,berch,,Q746136
bersige,berch,,Q746136
bersze,berch,,Q746136
bertram,pellitory,,Q828427
beta,chard,,Q157954
betterling,parsley,,Q25284
beworcze,spice,,Q42527
beworczen,spice,,Q42527
bewuortz,spice,,Q42527
bewrcz,spice,,Q42527
bewuercz,spice,,Q42527
bewuerczen,spice,,Q42527
bewuertz,spice,,Q42527
bewuertzen,spice,,Q42527
bewuertzt,spice,,Q42527
bewurcz,spice,,Q42527
bewurtz,spice,,Q42527
beybozz samen,common wormwood,,Q26663
